Date,Time,Open,High,Low,Close,Volume,Count,WAP,HasGaps
8/17/2017,13:00:00,2443.75,2444.25,2440.75,2441.25,23609,2252,2442.025,0
8/17/2017,13:05:00,2441.25,2443.5,2441,2442.75,19121,1674,2442.525,0
8/17/2017,13:10:00,2443,2443.25,2441.25,2441.25,14411,1246,2442.2,0
8/17/2017,13:15:00,2441.25,2443.5,2441,2443.25,16632,1469,2442.6,0
8/17/2017,13:20:00,2443,2443.25,2441.75,2442,11090,982,2442.475,0
8/17/2017,13:25:00,2442,2443.75,2442,2443.25,11881,1035,2443.05,0
8/17/2017,13:30:00,2443,2444.5,2442.25,2443.75,16602,1762,2443.625,0
8/17/2017,13:35:00,2443.75,2445.75,2443.5,2444,17024,1394,2444.85,0
8/17/2017,13:40:00,2444,2445.25,2443.25,2443.75,7693,856,2444.075,0
8/17/2017,13:45:00,2443.5,2443.75,2442,2442.25,11435,1158,2442.7,0
8/17/2017,13:50:00,2442,2443,2441,2442.5,12501,1258,2441.8,0
8/17/2017,13:55:00,2442.5,2444,2442,2443.75,9093,960,2442.825,0
8/17/2017,14:00:00,2443.75,2444.5,2441,2441.5,15911,1517,2442.95,0
8/17/2017,14:05:00,2441.5,2443.25,2441.5,2443.25,12514,964,2442.65,0
8/17/2017,14:10:00,2443,2444,2442.5,2442.5,5946,767,2443.15,0
8/17/2017,14:15:00,2442.5,2442.75,2438.75,2439.75,27588,2335,2440.025,0
8/17/2017,14:20:00,2439.5,2440.75,2438.75,2440.75,15501,1523,2439.575,0
8/17/2017,14:25:00,2440.75,2442.5,2440.5,2442,15644,1579,2441.425,0
8/17/2017,14:30:00,2442,2442.5,2440.75,2441.5,11579,1128,2441.6,0
8/17/2017,14:35:00,2441.75,2442.5,2440.25,2440.5,8193,972,2441.375,0
8/17/2017,14:40:00,2440.5,2441.25,2439.25,2439.25,15635,1632,2440.15,0
8/17/2017,14:45:00,2439.5,2441.25,2438.75,2440.5,15935,1427,2440.25,0
8/17/2017,14:50:00,2440.5,2441.5,2438.5,2440.5,25951,2036,2439.525,0
