"Date","Open","High","Low","Close","Volume","Adj Close"
"08/10/2011","115.26","116.28","111.95","112.29","662607400","105.48"
"08/11/2011","113.26","118.92","112.32","117.33","487979700","110.21"
"08/12/2011","118.40","119.21","117.28","118.12","313731600","110.95"
"08/15/2011","119.19","120.74","119.00","120.62","258810600","113.30"
"08/16/2011","119.47","120.69","118.31","119.59","294095200","112.33"
"08/17/2011","120.25","121.20","118.72","119.67","238201100","112.41"
"08/18/2011","116.50","119.71","113.39","114.51","512956300","107.56"
"08/19/2011","112.96","115.88","112.50","112.64","428281300","105.81"
"08/22/2011","115.17","115.23","112.41","112.73","275090600","105.89"
"08/23/2011","113.15","116.57","112.58","116.44","331136600","109.38"
"08/24/2011","116.19","118.24","115.92","118.08","246869700","110.92"
"08/25/2011","118.73","119.40","115.87","116.28","312365400","109.23"
"08/26/2011","115.69","118.51","113.85","117.97","314495900","110.81"
"08/29/2011","119.56","121.43","118.06","121.36","190977200","114.00"
"08/30/2011","120.83","122.43","119.26","121.68","241315700","114.30"
"08/31/2011","122.46","123.51","121.30","122.22","301828400","114.80"
"09/01/2011","122.29","123.40","120.78","120.94","254585900","113.60"
"09/02/2011","118.42","120.87","117.43","117.85","255517200","110.70"
"09/06/2011","114.39","117.16","114.38","116.99","285130500","109.89"
"09/07/2011","118.76","120.34","118.36","120.29","209803200","112.99"
"09/08/2011","119.57","120.94","118.77","119.04","250568200","111.82"
"09/09/2011","117.68","119.06","115.28","115.92","380195100","108.89"
"09/12/2011","114.47","116.76","114.05","116.67","305793500","109.59"
"09/13/2011","117.05","118.18","116.22","117.74","272514700","110.60"
"09/14/2011","118.34","120.80","116.72","119.37","319389500","112.13"
"09/15/2011","120.65","121.47","119.40","121.43","326777200","114.06"
"09/16/2011","121.29","121.97","120.32","121.52","284528300","114.74"
"09/19/2011","119.53","120.93","118.72","120.31","241517000","113.60"
"09/20/2011","120.82","121.99","120.01","120.17","218932200","113.46"
"09/21/2011","120.23","120.60","116.44","116.63","316251300","110.12"
"09/22/2011","113.25","114.21","111.30","112.86","513911300","106.56"
"09/23/2011","112.11","114.16","112.02","113.54","307242500","107.20"
"09/26/2011","114.61","116.40","112.98","116.24","260673700","109.75"
"09/27/2011","118.53","119.56","116.84","117.54","311753900","110.98"
"09/28/2011","117.78","118.49","114.97","115.14","286696800","108.71"
"09/29/2011","117.05","117.63","113.93","116.05","298108900","109.57"
"09/30/2011","114.45","115.45","113.07","113.15","288392300","106.83"
"10/03/2011","112.49","113.95","109.81","109.93","365136800","103.79"
"10/04/2011","108.35","112.58","107.43","112.34","459177500","106.07"
"10/05/2011","112.62","114.72","111.58","114.42","284108000","108.03"
"10/06/2011","114.36","116.66","113.51","116.49","257800800","109.99"
"10/07/2011","117.17","117.25","115.06","115.71","312657900","109.25"
"10/10/2011","117.68","119.63","117.67","119.58","230666300","112.91"
"10/11/2011","118.87","120.04","118.75","119.70","209088000","113.02"
"10/12/2011","120.60","122.14","120.33","120.75","281544900","114.01"
"10/13/2011","120.04","120.87","119.12","120.51","212538800","113.78"
"10/14/2011","121.91","122.60","121.23","122.57","211397600","115.73"
"10/17/2011","121.99","122.55","119.93","120.23","202311600","113.52"
"10/18/2011","120.14","123.50","119.20","122.58","318857900","115.74"
"10/19/2011","122.38","123.08","120.71","121.13","226601300","114.37"
"10/20/2011","121.43","122.10","119.82","121.66","262075600","114.87"
"10/21/2011","123.09","124.12","122.72","123.97","278999400","117.05"
"10/24/2011","124.17","125.80","124.06","125.49","203215600","118.49"
"10/25/2011","124.89","124.95","122.78","123.05","268596800","116.18"
"10/26/2011","124.35","124.77","122.21","124.30","289053800","117.36"
"10/27/2011","127.63","129.42","126.61","128.63","393220200","121.45"
"10/28/2011","128.00","128.85","127.80","128.60","225906500","121.42"
"10/31/2011","127.16","128.62","125.32","125.50","228146700","118.50"
"11/01/2011","122.03","123.51","121.52","122.00","416565800","115.19"
"11/02/2011","123.83","124.40","122.79","123.99","244717600","117.07"
"11/03/2011","125.27","126.50","123.60","126.25","291174800","119.20"
"11/04/2011","125.23","125.70","124.01","125.48","249401600","118.48"
"11/07/2011","125.39","126.39","124.20","126.26","196617200","119.21"
"11/08/2011","126.92","128.02","125.71","127.88","224426300","120.74"
"11/09/2011","124.89","125.80","122.86","123.16","337982000","116.29"
"11/10/2011","124.79","124.94","123.02","124.32","231866500","117.38"
"11/11/2011","125.83","126.99","125.79","126.66","189924400","119.59"
"11/14/2011","126.19","127.45","124.92","125.46","159258300","118.46"
"11/15/2011","125.17","126.75","124.72","126.08","184709400","119.04"
"11/16/2011","124.81","126.34","123.90","124.08","235782500","117.15"
"11/17/2011","123.85","124.16","121.23","122.11","331219600","115.29"
"11/18/2011","122.50","122.75","121.47","121.98","215580400","115.17"
"11/21/2011","120.20","120.35","118.65","119.66","229611600","112.98"
"11/22/2011","119.40","120.10","118.52","119.19","216494900","112.54"
"11/23/2011","118.07","119.19","116.56","116.56","224329100","110.05"
"11/25/2011","116.38","117.70","116.20","116.34","99557000","109.85"
"11/28/2011","119.54","120.18","118.82","119.71","210686000","113.03"
"11/29/2011","120.05","121.00","119.61","120.05","199241500","113.35"
"11/30/2011","123.49","125.22","120.00","124.99","324439500","118.01"
"12/01/2011","124.85","125.64","124.43","124.97","176954800","118.00"
"12/02/2011","126.12","126.50","124.78","124.86","221109700","117.89"
"12/05/2011","126.84","127.18","125.44","126.22","225263900","119.18"
"12/06/2011","126.21","127.11","125.76","126.26","178842100","119.21"
"12/07/2011","125.84","127.26","124.97","126.73","237802500","119.66"
"12/08/2011","125.90","126.18","123.65","123.95","240862800","117.03"
"12/09/2011","124.51","126.37","124.40","126.05","209111400","119.01"
"12/12/2011","124.95","124.97","123.16","124.21","215826100","117.28"
"12/13/2011","124.86","125.57","122.45","123.05","245159800","116.18"
"12/14/2011","122.56","123.03","121.47","121.74","238618800","114.95"
"12/15/2011","123.03","123.20","121.99","122.18","199109200","115.36"
"12/16/2011","122.23","122.95","121.30","121.59","220481400","115.53"
"12/19/2011","122.06","122.32","120.03","120.29","183903000","114.30"
"12/20/2011","122.18","124.14","120.37","123.93","225418100","117.76"
"12/21/2011","123.93","124.36","122.75","124.17","194230900","117.98"
"12/22/2011","124.63","125.40","124.23","125.27","119465400","119.03"
"12/23/2011","125.67","126.43","125.41","126.39","92187200","120.09"
"12/27/2011","126.17","126.82","126.06","126.49","86075700","120.19"
"12/28/2011","126.51","126.53","124.73","124.83","119107100","118.61"
"12/29/2011","125.24","126.25","124.86","126.12","123507200","119.84"
"12/30/2011","126.02","126.33","125.50","125.50","95599000","119.25"
"01/03/2012","127.76","128.38","127.43","127.50","193697900","121.15"
"01/04/2012","127.20","127.81","126.71","127.70","127186500","121.34"
"01/05/2012","127.01","128.23","126.43","128.04","173895000","121.66"
"01/06/2012","128.20","128.22","127.29","127.71","148050000","121.35"
"01/09/2012","128.00","128.18","127.41","128.02","99530200","121.64"
"01/10/2012","129.39","129.65","128.95","129.13","115282000","122.70"
"01/11/2012","128.73","129.37","128.52","129.20","111540700","122.76"
"01/12/2012","129.57","129.70","128.54","129.51","118983700","123.06"
"01/13/2012","128.64","129.05","127.72","128.84","179836200","122.42"
"01/17/2012","130.08","130.32","128.90","129.34","132209200","122.90"
"01/18/2012","129.31","130.84","129.08","130.77","163395200","124.25"
"01/19/2012","131.22","131.57","130.80","131.46","126328900","124.91"
"01/20/2012","131.24","131.95","130.92","131.95","138230200","125.38"
"01/23/2012","131.51","132.25","130.98","131.61","129295800","125.05"
"01/24/2012","130.80","131.50","130.60","131.46","103083300","124.91"
"01/25/2012","131.26","132.87","130.75","132.56","198613200","125.96"
"01/26/2012","133.15","133.40","131.36","131.88","184880500","125.31"
"01/27/2012","131.24","132.05","131.15","131.82","135259100","125.25"
"01/30/2012","130.51","131.44","130.06","131.37","147311800","124.82"
"01/31/2012","132.02","132.18","130.68","131.32","157212000","124.78"
"02/01/2012","132.29","133.14","132.13","132.47","166234500","125.87"
"02/02/2012","132.73","133.02","132.21","132.68","113090400","126.07"
"02/03/2012","134.00","134.62","133.77","134.54","160598500","127.84"
"02/06/2012","133.98","134.51","133.83","134.45","107694500","127.75"
"02/07/2012","134.17","135.02","133.64","134.79","135528100","128.07"
"02/08/2012","134.86","135.22","134.31","135.19","139361400","128.45"
"02/09/2012","135.41","135.59","134.56","135.36","148602900","128.62"
"02/10/2012","134.16","134.47","133.84","134.36","167907500","127.67"
"02/13/2012","135.32","135.52","134.74","135.36","115841900","128.62"
"02/14/2012","135.00","135.27","134.25","135.19","165329500","128.45"
