"Date","Outlook"
"2010/08/18","127"
"2010/08/19","127"
"2010/08/20","127"
"2010/08/23","127"
"2010/08/24","127"
"2010/08/25","126"
"2010/08/26","125"
"2010/08/27","124"
"2010/08/31","123"
"2010/09/01","122"
"2010/09/02","123"
"2010/09/03","124"
"2010/09/07","125"
"2010/09/08","126"
"2010/09/09","127"
"2010/09/10","128"
"2010/09/13","129"
"2010/09/14","130"
"2010/09/15","131"
"2010/09/16","132"
"2010/09/17","133"
"2010/09/20","134"
"2010/09/21","135"
"2010/09/22","136"
"2010/09/23","137"
"2010/09/24","138"
"2010/09/27","139"
"2010/09/28","140"
"2010/09/29","141"
"2010/09/30","142"
"2010/10/01","143"
"2010/10/04","144"
"2010/10/05","145"
"2010/10/06","146"
"2010/10/07","147"
"2010/10/08","148"
"2010/10/11","149"
"2010/10/12","150"
"2010/10/13","151"
"2010/10/14","152"
"2010/10/15","153"
"2010/10/18","154"
"2010/10/19","155"
"2010/10/20","156"
"2010/10/21","157"
"2010/10/22","158"
"2010/10/25","159"
"2010/10/26","160"
"2010/10/27","161"
"2010/10/28","162"
"2010/10/29","163"
"2010/11/01","164"
"2010/11/02","165"
"2010/11/03","166"
"2010/11/04","167"
"2010/11/05","168"
"2010/11/08","169"
"2010/11/09","170"
"2010/11/10","171"
"2010/11/11","172"
"2010/11/12","173"
"2010/11/15","173"
"2010/11/16","173"
"2010/11/17","172"
"2010/11/18","171"
"2010/11/19","170"
"2010/11/22","169"
"2010/11/23","168"
"2010/11/24","167"
"2010/11/26","166"
"2010/11/29","165"
"2010/11/30","164"
"2010/12/01","163"
"2010/12/02","162"
"2010/12/03","161"
"2010/12/06","162"
"2010/12/07","163"
"2010/12/08","164"
"2010/12/09","165"
"2010/12/10","166"
"2010/12/13","167"
"2010/12/14","168"
"2010/12/15","169"
"2010/12/16","169"
"2010/12/17","169"
"2010/12/20","169"
"2010/12/21","170"
"2010/12/22","171"
"2010/12/27","172"
"2010/12/28","173"
"2010/12/29","174"
"2010/12/30","175"
"2010/12/31","176"
"2011/01/03","177"
"2011/01/04","178"
"2011/01/05","179"
"2011/01/06","180"
"2011/01/07","181"
"2011/01/10","182"
"2011/01/11","183"
"2011/01/12","184"
"2011/01/13","185"
"2011/01/14","186"
"2011/01/18","187"
"2011/01/19","188"
"2011/01/20","189"
"2011/01/21","189"
"2011/01/24","189"
"2011/01/25","189"
"2011/01/26","189"
"2011/01/27","190"
"2011/01/28","191"
"2011/01/31","191"
"2011/02/01","191"
"2011/02/02","192"
"2011/02/03","193"
"2011/02/04","194"
"2011/02/07","195"
"2011/02/08","196"
"2011/02/09","197"
"2011/02/10","198"
"2011/02/11","199"
"2011/02/14","200"
"2011/02/15","201"
"2011/02/16","202"
"2011/02/17","203"
"2011/02/18","204"
"2011/02/22","205"
"2011/02/23","205"
"2011/02/24","205"
"2011/02/25","205"
"2011/03/01","205"
"2011/03/02","205"
"2011/03/03","205"
"2011/03/04","205"
"2011/03/07","205"
"2011/03/08","204"
"2011/03/09","203"
"2011/03/10","202"
"2011/03/11","201"
"2011/03/14","200"
"2011/03/15","199"
"2011/03/16","198"
"2011/03/17","197"
"2011/03/18","196"
"2011/03/21","195"
"2011/03/22","194"
"2011/03/23","193"
"2011/03/24","192"
"2011/03/25","191"
"2011/03/28","190"
"2011/03/29","189"
"2011/03/30","190"
"2011/03/31","191"
"2011/04/01","192"
"2011/04/04","193"
"2011/04/05","194"
"2011/04/06","195"
"2011/04/07","196"
"2011/04/08","197"
"2011/04/11","198"
"2011/04/12","199"
"2011/04/13","199"
"2011/04/14","199"
"2011/04/15","199"
"2011/04/18","199"
"2011/04/19","199"
"2011/04/20","199"
"2011/04/21","200"
"2011/04/25","201"
"2011/04/26","202"
"2011/04/27","203"
"2011/04/28","204"
"2011/04/29","205"
"2011/05/02","206"
"2011/05/03","207"
"2011/05/04","207"
"2011/05/05","206"
"2011/05/06","205"
"2011/05/09","204"
"2011/05/10","203"
"2011/05/11","202"
"2011/05/12","201"
"2011/05/13","200"
"2011/05/16","199"
"2011/05/17","198"
"2011/05/18","197"
"2011/05/19","196"
"2011/05/20","195"
"2011/05/23","194"
"2011/05/24","193"
"2011/05/25","192"
"2011/05/26","191"
"2011/05/27","190"
"2011/05/31","189"
"2011/06/01","190"
"2011/06/02","189"
"2011/06/03","188"
"2011/06/06","187"
"2011/06/07","186"
"2011/06/08","185"
"2011/06/09","184"
"2011/06/10","183"
"2011/06/13","182"
"2011/06/14","181"
"2011/06/15","180"
"2011/06/16","179"
"2011/06/17","178"
"2011/06/20","177"
"2011/06/21","176"
"2011/06/22","175"
"2011/06/23","174"
"2011/06/24","173"
"2011/06/27","172"
"2011/06/28","171"
"2011/06/29","170"
"2011/06/30","169"
"2011/07/01","168"
"2011/07/05","169"
"2011/07/06","170"
"2011/07/07","171"
"2011/07/08","172"
"2011/07/11","173"
"2011/07/12","173"
"2011/07/13","173"
"2011/07/14","173"
"2011/07/15","173"
"2011/07/18","173"
"2011/07/19","173"
"2011/07/20","174"
"2011/07/21","175"
"2011/07/22","176"
"2011/07/25","177"
"2011/07/26","177"
"2011/07/27","177"
"2011/07/28","176"
"2011/07/29","175"
"2011/08/01","174"
"2011/08/02","173"
"2011/08/03","172"
"2011/08/04","171"
"2011/08/05","170"
"2011/08/08","169"
"2011/08/09","168"
"2011/08/10","167"
"2011/08/11","166"
"2011/08/12","165"
"2011/08/15","164"
"2011/08/16","163"
"2011/08/17","162"
"2011/08/18","161"
"2011/08/19","160"
"2011/08/22","159"
"2011/08/23","158"
"2011/08/24","159"
"2011/08/25","160"
"2011/08/26","160"
"2011/08/29","161"
"2011/08/30","162"
"2011/08/31","163"
"2011/09/01","164"
"2011/09/02","165"
"2011/09/06","166"
"2011/09/07","167"
"2011/09/08","168"
"2011/09/09","169"
"2011/09/12","170"
"2011/09/13","171"
"2011/09/14","172"
"2011/09/15","173"
"2011/09/16","174"
"2011/09/19","175"
"2011/09/20","176"
"2011/09/21","177"
"2011/09/22","177"
"2011/09/23","176"
"2011/09/26","175"
"2011/09/27","174"
"2011/09/28","173"
"2011/09/29","172"
"2011/09/30","171"
"2011/10/03","170"
"2011/10/04","169"
"2011/10/05","168"
"2011/10/06","167"
